x,y,z
115.998,-0.300275,0.520093
115.993,-0.628343,1.08833
115.984,-0.961951,1.66615
115.971,-1.29553,2.24393
115.955,-1.6235,2.812
115.934,-1.95698,3.38961
115.91,-2.2904,3.9671
115.881,-2.62374,4.54446
115.85,-2.95144,5.11206
115.814,-3.2846,5.68911
115.77,-3.65094,6.32364
115.727,-3.97831,6.89066
115.679,-4.3111,7.46707
115.628,-4.64374,8.04322
115.572,-4.97623,8.61911
115.514,-5.30302,9.18513
115.451,-5.63517,9.76044
115.384,-5.96714,10.3354
115.315,-6.29338,10.9005
116.248,-6.62076,11.4675
116.17,-6.955,12.0465
116.09,-7.28345,12.6154
116.004,-7.61723,13.1935
115.914,-7.95075,13.7712
115.823,-8.27846,14.3388
115.725,-8.61145,14.9155
115.624,-8.94415,15.4918
115.52,-9.27656,16.0675
116.436,-9.5736,16.582
116.324,-9.90833,17.1618
116.208,-10.2427,17.741
116.088,-10.5768,18.3196
115.967,-10.905,18.888
115.84,-11.2383,19.4654
115.708,-11.5713,20.0422
115.573,-11.9039,20.6183
115.437,-12.2306,21.1841
115.294,-12.5624,21.7588
116.181,-12.875,22.3003
116.031,-13.209,22.8787
115.877,-13.5425,23.4563
115.722,-13.87,24.0236
115.56,-14.2026,24.5997
115.395,-14.5347,25.175
116.251,-14.8799,25.7728
116.081,-15.2084,26.3419
115.904,-15.5421,26.9197
115.723,-15.8752,27.4967
115.542,-16.2022,28.0632
115.354,-16.5343,28.6383
116.157,-16.9451,29.3498
115.963,-17.2733,29.9184
115.763,-17.6066,30.4956
115.558,-17.9392,31.0718
116.374,-18.3108,31.7153
116.165,-18.6396,32.2849
115.948,-18.9734,32.863
115.728,-19.3066,33.4401
115.515,-19.6225,33.9873
116.31,-20.0065,34.6524
116.082,-20.3352,35.2217
115.846,-20.6687,35.7994
115.606,-21.0016,36.3759
115.366,-21.3282,36.9416
116.101,-21.7745,37.7147
115.849,-22.1081,38.2925
116.624,-22.4934,38.9598
116.368,-22.8229,39.5305
116.103,-23.1572,40.1096
115.835,-23.4907,40.6873
115.567,-23.818,41.2541
116.265,-24.2819,42.0576
115.984,-24.6159,42.6361
116.718,-25.0296,43.3527
115.414,-25.2759,43.7793
115.122,-25.6074,44.3535
115.852,-26.0163,45.0617
115.555,-26.3435,45.6285
115.25,-26.6755,46.2034
115.904,-27.158,47.0393
115.595,-27.4854,47.6063
115.277,-27.8174,48.1814
115.962,-28.2573,48.9433
115.635,-28.5904,49.5202
116.264,-29.0798,50.3679
115.928,-29.4138,50.9463
116.597,-29.8582,51.7161
115.249,-30.0731,52.0884
115.92,-30.5103,52.8455
116.503,-31.0284,53.7429
116.162,-31.3462,54.2935
115.8,-31.6798,54.8712
116.431,-32.1433,55.674
116.066,-32.4721,56.2435
115.69,-32.8054,56.8208
115.311,-33.1376,57.3962
115.869,-33.6537,58.2901
116.414,-34.1787,59.1994
116.026,-34.5074,59.7687
116.618,-34.9868,60.5992
117.143,-35.5196,61.5221
116.739,-35.8504,62.0949
116.325,-36.1856,62.6755
115.906,-36.5195,63.2539
116.412,-37.0544,64.1803
115.984,-37.3886,64.7591
116.557,-37.8665,65.5869
116.119,-38.2011,66.1665
116.577,-38.7614,67.1369
116.152,-39.0793,67.6876
115.252,-39.7394,68.8308
116.121,-40.8656,70.7815
116.646,-41.3605,71.6388
115.209,-42.3553,73.3617
116,-43.5001,75.3447
116.387,-44.074,76.3386
115.886,-44.4024,76.9076
116.259,-44.9801,77.9082
116.632,-45.555,78.9038
116.106,-45.8897,79.4835
116.464,-46.4682,80.4856
115.927,-46.8024,81.0645
116.679,-47.9245,83.008
116.978,-48.5285,84.0541
116.446,-48.8474,84.6065
116.159,-49.7896,86.2385
116.146,-51.3204,88.8898
116.418,-51.9199,89.9282
116.046,-52.8732,91.5794
119.81,-132.595,229.663
304.566,-658.622,1140.77
295.666,-656.561,1137.2
287.679,-656.424,1136.96
280.248,-657.227,1138.35
272.277,-657.043,1138.04
264.318,-656.835,1137.67
256.752,-656.565,1137.21
248.575,-655.316,1135.05
240.67,-655.037,1134.56
233.13,-655.718,1135.74
225.243,-655.392,1135.18
217.825,-656.019,1136.26
209.958,-655.647,1135.62
202.107,-655.252,1134.93
194.942,-655.794,1135.87
187.52,-656.335,1136.81
179.694,-655.873,1136.01
171.885,-655.387,1135.17
164.094,-654.879,1134.29
156.683,-655.332,1135.07
149.14,-655.772,1135.83
141.379,-655.196,1134.84
134.012,-654.578,1133.77
126.605,-654.946,1134.4
118.706,-653.308,1131.57
111.188,-653.638,1132.14
103.666,-653.947,1132.67
96.2658,-654.23,1133.16
88.4668,-652.501,1130.17
81.3298,-655.739,1135.78
74.2746,-656.949,1137.87
66.435,-653.154,1131.3
58.9195,-653.334,1131.61
51.4806,-654.492,1133.62
43.9499,-654.629,1133.86
36.5432,-654.743,1134.05
28.9658,-653.838,1132.48
21.443,-653.91,1132.61
14.2957,-653.959,1132.69
6.90768,-654.989,1134.48
-0.627993,-654.998,1134.49
-8.16364,-654.985,1134.47
-15.699,-654.951,1134.41
-23.1082,-654.896,1134.32
-30.6423,-654.819,1134.18
-38.1754,-654.72,1134.01
-45.3998,-655.605,1135.55
-52.8161,-655.466,1135.31
-60.4483,-656.303,1136.75
-67.9978,-656.118,1136.43
-75.4302,-654.913,1134.35
-82.8381,-654.689,1133.96
-90.5066,-655.438,1135.26
-98.0459,-655.167,1134.79
-104.725,-651.899,1129.13
-111.88,-649.594,1125.13
-119.41,-650.263,1126.29
-127.277,-651.899,1129.13
-134.775,-651.523,1128.47
-142.144,-651.131,1127.8
-149.633,-650.711,1127.07
-157.356,-651.263,1128.02
-164.472,-650.823,1127.26
-172.219,-651.331,1128.14
-179.585,-650.833,1127.28
-187.07,-650.306,1126.37
-194.548,-649.757,1125.42
-202.203,-650.185,1126.16
-210.317,-651.567,1128.55
-217.48,-649.965,1125.78
-224.922,-650.346,1126.44
-232.752,-650.673,1127
-240.109,-650.004,1125.84
-247.584,-649.303,1124.63
-255.821,-650.542,1126.78
-263.177,-649.809,1125.51
-271.057,-650.02,1125.87
-278.157,-649.269,1124.57
-285.622,-648.459,1123.17
-293.078,-647.626,1121.73
-300.852,-647.761,1121.96
