x,y,z
1431.21,47.6313,0
1446.95,55.239,0
1456.58,64.2798,0
1456.19,72.6576,0
1453.75,80.9218,0
1451.25,89.4386,0
1450.71,97.7853,0
1454.08,106.839,0
1453.45,115.062,0
1452.73,123.839,0
1451.99,132.194,0
160.264,15.3813,0
1453.21,140.597,0
1450.35,149.168,0
159.16,16.3696,0
1451.46,157.724,0
159.064,17.2848,0
1456.45,167.033,0
1457.45,175.647,0
159.747,20.0451,0
1456.37,184.447,0
1455.3,192.682,0
1448.22,200.229,0
161.397,22.8035,0
1433.92,215.372,0
1461.14,388.86,0
1445.26,393.996,0
1452.64,404.85,0
1452.09,414.165,0
1449.68,422.511,0
1452.9,432.834,0
1452.3,441.766,0
1451.64,450.706,0
1454.66,461.14,0
1451.98,469.5,0
1449.12,478.262,0
1450.18,487.726,0
1449.1,497.125,0
1445.22,514.296,0
1540.44,556.85,0
1539.58,565.064,0
1543.69,577.007,0
1538.47,585.166,0
1537.11,605.319,0
2549.61,1503.69,0
2537.19,1516.77,0
2538.69,1537.56,0
2543.14,1560.99,0
2547.71,1584.04,0
2582.56,1626.38,0
2579.59,1646.01,0
2533.12,1636.94,0
2529.88,1656.59,0
2513.82,1709.48,0
548.566,405.216,0
544.546,407.272,0
542.194,410.397,0
539.824,413.509,0
538.937,417.936,0
536.524,421.03,0
536.026,424.89,0
533.45,428.12,0
534.125,433.652,0
531.622,436.717,0
532.05,442.478,0
531.026,446.819,0
531.406,452.561,0
531.824,458.221,0
532.595,463.442,0
534.424,470.463,0
539.084,480.283,0
3160.32,3026.84,0
3125.62,3028.26,0
3179.16,3796.74,0
3135.78,3791.21,0
3089.67,3787.67,0
3057.79,3792.93,0
3036.29,3810.16,0
3028.06,3847.29,0
3015.7,3877.28,0
3025.99,3930.01,0
3007.42,3954.29,0
2979.82,3965.13,0
2914.87,4023,0
1401.26,4347.77,0
-1713.5,4000.48,0
-1716.96,3946.7,0
-1710.53,3870.91,0
-1707.66,3802.12,0
-1703.55,3724.93,0
-1696.32,3653.4,0
-1695.82,3596.21,0
-1706.12,3564.75,0
-1728.35,3558.48,0
-1753.01,3555.32,0
-1778.8,3555.9,0
-1802.84,3552.75,0
-1827.59,3549.08,0
-1851.68,3545.6,0
-1875.79,3541.96,0
-1896.81,3530.75,0
-1926.65,3537.34,0
-1999.16,3570.41,0
-6064.65,3983.66,0
-6075.17,3938.26,0
-6070.4,3886.57,0
-6047.93,3772.38,0
-5755.84,3545.12,0
-5776.14,3511.95,0
-5797.25,3477,0
-5856.06,3377.01,0
-5287.27,2920,0
-5818.15,3132.85,0
-5807.81,3084.33,0
-5833.43,3052.9,0
-5836.38,3012.51,0
-5825.1,2964.38,0
-5847.17,2848.28,0
-5115.25,2375.67,0
-5194.31,2376.16,0
-5324.36,2360.12,0
-5694.28,2452.58,0
