x,y,z
1442.28,70.4389,0
1447.93,77.3957,0
1449.46,85.8417,0
1450.92,94.5861,0
1450.35,102.931,0
1449.74,111.272,0
1447.08,119.445,0
1448.37,127.805,0
1449.56,136.738,0
1450.74,145.274,0
1449.9,153.478,0
160.101,16.9938,0
1450.98,162.037,0
159.995,17.9605,0
1448.04,170.148,0
1447,178.752,0
158.765,19.8445,0
1447.93,187.33,0
1450.79,196.192,0
159.542,21.6216,0
162.448,22.5074,0
1447.66,204.255,0
1440.55,211.568,0
1429.19,219.849,0
1412.75,233.989,0
1496.15,389.434,0
1468.35,392.889,0
1450.63,397.104,0
1446.28,405.319,0
1445.89,414.044,0
1447.32,423.478,0
1444.86,431.796,0
1446.18,441.268,0
1447.35,451.047,0
1446.63,459.971,0
1445.87,468.902,0
1445.09,477.701,0
1444.21,486.644,0
1445.03,496.659,0
1444.09,505.485,0
1441.15,513.784,0
1443.82,524.113,0
1443.11,531.858,0
1441.9,540.853,0
1442.5,550.564,0
1444.96,560.886,0
1445.27,571.074,0
1443.81,580.124,0
1440.51,588.281,0
1440.79,598.091,0
1441.01,607.924,0
1439.21,617.268,0
1435.64,625.536,0
1437.5,636.213,0
1439.29,646.931,0
1439.25,656.722,0
1438.89,667.086,0
1438.64,677.055,0
1438.4,686.906,0
1438.03,696.913,0
1437.38,707.352,0
1438.72,718.151,0
1438.14,728.223,0
1439.26,739.224,0
1440.31,750.263,0
1439.36,760.68,0
1438.48,770.837,0
1434.03,779.099,0
1434.85,790.092,0
1437.88,801.129,0
1436.81,811.217,0
1435.59,821.455,0
1434.07,832.118,0
1434.51,843.257,0
1434.79,854.566,0
1433.27,864.872,0
1431.69,875.188,0
1433.26,887.896,0
1434.91,900.378,0
1434.77,911.836,0
1434.63,923.184,0
1434.06,935.109,0
1431.99,945.547,0
1431.61,956.966,0
1431.05,968.549,0
1428.75,979.026,0
1431.12,993.203,0
1433.57,1007.17,0
1433.52,1017.64,0
1430.89,1028.2,0
1428.19,1038.77,0
1427.02,1050.52,0
1425.87,1062.16,0
1427.41,1076.78,0
1427.55,1089.83,0
1427.69,1102.77,0
1427.63,1115.89,0
1425.89,1127.81,0
1422.28,1138.77,0
1420.37,1150.71,0
1423.01,1166.47,0
1420.9,1178.46,0
1419.99,1192.03,0
1420.73,1206.65,0
1419.84,1220.02,0
1420.46,1234.59,0
1419.34,1248.02,0
1422.2,1262.92,0
1419.37,1275.09,0
1417.56,1289.02,0
1420.55,1306.49,0
1420.34,1321.46,0
1421.45,1337.83,0
1420.97,1352.88,0
1417.23,1365.46,0
1416.51,1380.57,0
1417.09,1397.12,0
1416.25,1412.18,0
1416.14,1429.23,0
1416.29,1445.93,0
1413.65,1459.66,0
1412.15,1474.99,0
1414.55,1492.04,0
1416.89,1511.83,0
1413.6,1525.82,0
1410.35,1539.69,0
1411.76,1560.04,0
1410.77,1577.08,0
1409.62,1594.16,0
1411.11,1614.16,0
1409.18,1631.73,0
1410.16,1651.98,0
1411.11,1672.16,0
1406.59,1686.39,0
1407.04,1706.8,0
1406.98,1727.54,0
1408.89,1746.58,0
1411.46,1770.16,0
1410.64,1791.23,0
1405.23,1805.62,0
1399.87,1819.89,0
1399.06,1840.65,0
1404.72,1871.46,0
1403.47,1892.36,0
1399.83,1909.94,0
1395.86,1927.68,0
1394.06,1948.7,0
1398.61,1979.82,0
1398.64,2004.23,0
1397.92,2024.21,0
1397.52,2048.74,0
1396.89,2073.33,0
1391.79,2091.19,0
1390.72,2115.88,0
1393.77,2147.33,0
1392.18,2172.15,0
1390.57,2196.89,0
1388.51,2221.81,0
1389.76,2253.99,0
1393.63,2289.15,0
1390.74,2314.27,0
1387.61,2339.43,0
1386.95,2363.04,0
1378.66,2381.76,0
1382.8,2420.91,0
1392.65,2470.51,0
1388.14,2495.96,0
1381.45,2517.93,0
1378.61,2546.81,0
1384.66,2593.51,0
1388.36,2636.83,0
1386.07,2669.62,0
1381.88,2698.78,0
1376.37,2728.51,0
1381.65,2770.61,0
1393.92,2835.95,0
1393.28,2876.32,0
1381.88,2895.11,0
1379.1,2931.84,0
1383.21,2987.3,0
1380.94,3027.97,0
1376.91,3064.92,0
1368.96,3094.74,0
1368.71,3142.9,0
1377.4,3213.22,0
1381.92,3267.81,0
1380.32,3316.2,0
1379.42,3368.5,0
1370.48,3402.35,0
1364.14,3443.65,0
1366.42,3507.22,0
1360.53,3552.38,0
1358.39,3608.81,0
1348.71,3646.58,0
1346.12,3707.17,0
1357.02,3805.27,0
1362.04,3875.63,0
1359.29,3940.12,0
1357.13,4008.49,0
1363.52,4107.6,0
1362.16,4183.84,0
1345.37,4214.47,0
1333.46,4260.19,0
1351.11,4497.44,0
1341.02,4558.86,0
1326.28,4604.81,0
1319.3,4681.66,0
1324.11,4788.29,0
1299.59,4919.23,0
1329.23,5151.27,0
1283.75,5220.48,0
1345.12,5608.97,0
1319.03,5648.02,0
1293.61,5686.72,0
1334.59,6161.11,0
1312.31,6231.31,0
1283.26,6278.19,0
1304.68,6779.6,0
1206.04,6903.44,0
1663.47,-6939.41,-0
1680.45,-6836.5,-0
1636.15,-6195.6,-0
1735.29,-6135.32,-0
1626.55,-5608.91,-0
1680.46,-5551.22,-0
1599.38,-5073.89,-0
1611.39,-5011.3,-0
1612.78,-4918.33,-0
1610.14,-4818.07,-0
1596.56,-4687.57,-0
1596.86,-4585.93,-0
1599.15,-4508.81,-0
1603.32,-4439.34,-0
1595.7,-4339.94,-0
1582.2,-4225.49,-0
1577.99,-4141.56,-0
1593.12,-4110.04,-0
1565.5,-3905.95,-0
1560.77,-3830.21,-0
1579.72,-3813.77,-0
1588.53,-3762.4,-0
1575.1,-3672.48,-0
1565.84,-3593.68,-0
1567.06,-3540.72,-0
1570.03,-3491.22,-0
1573.47,-3445.74,-0
1564.67,-3374.94,-0
1561.91,-3318.83,-0
1563.42,-3273.85,-0
1559.55,-3218.01,-0
1560.38,-3173.09,-0
1553.32,-3105.16,-0
1549.43,-3053.37,-0
1553.87,-3019.66,-0
1552.7,-2975.21,-0
1551.08,-2930.87,-0
1547.66,-2882.83,-0
1537.45,-2824.7,-0
1540.15,-2791.29,-0
1546.41,-2764.93,-0
1544.28,-2724.82,-0
1532.85,-2662.24,-0
1530,-2622.29,-0
1534.88,-2596.23,-0
1537.46,-2566.77,-0
1539.5,-2537.51,-0
1528.94,-2487.72,-0
1524.9,-2447.88,-0
1528.06,-2422.3,-0
1531.2,-2396.62,-0
1529.75,-2364.26,-0
1521.4,-2321.96,-0
1512.4,-2279.99,-0
1516.71,-2253.05,-0
1522.89,-2234.37,-0
1522.09,-2205.82,-0
1514.14,-2167.52,-0
1510.21,-2136.05,-0
1513.77,-2113.89,-0
1514.16,-2088.95,-0
1516.49,-2067.45,-0
1518.82,-2045.85,-0
1518.55,-2021.08,-0
1510.78,-1986.84,-0
1509.8,-1962.41,-0
1511.01,-1936.18,-0
1509.54,-1911.9,-0
1510.53,-1890.69,-0
1508.81,-1866.41,-0
1507.21,-1841.93,-0
1510.13,-1823.99,-0
1507.75,-1799.94,-0
1504.98,-1776.13,-0
1502.66,-1751.82,-0
1499.6,-1728.04,-0
1501.6,-1710.37,-0
1500.63,-1689.89,-0
1500.11,-1668.89,-0
1500.19,-1647.25,-0
1496.55,-1623.45,-0
1497.53,-1606.18,-0
1498.51,-1588.81,-0
1499.34,-1571.48,-0
1500.32,-1553.91,-0
1495.26,-1530.95,-0
1492.8,-1510.94,-0
1490.15,-1491.01,-0
1490.46,-1473.69,-0
1490.33,-1456.7,-0
1492.93,-1442.55,-0
1495.28,-1428.55,-0
1493.7,-1409.89,-0
1490.09,-1387.42,-0
1492.16,-1373.41,-0
1492.64,-1358.07,-0
1492.86,-1342.92,-0
1493.47,-1327.23,-0
1490.56,-1309.38,-0
1487.38,-1291.75,-0
1488.71,-1277.96,-0
1491.83,-1265.07,-0
1489.76,-1248.9,-0
1489.22,-1233.93,-0
1490.11,-1220.27,-0
1491.11,-1206.36,-0
1488.66,-1190.27,-0
1487.63,-1175.49,-0
1489.29,-1160.42,-0
1488.02,-1145.73,-0
1488.22,-1132.31,-0
1488.52,-1118.63,-0
1483.69,-1101.71,-0
1481.94,-1087.24,-0
1483.21,-1075.32,-0
1483.18,-1061.68,-0
1484.36,-1049.67,-0
1485.35,-1037.82,-0
1484.72,-1024.71,-0
1482.61,-1010.1,-0
1480.01,-996.109,-0
1482.38,-985.365,-0
1483.01,-973.529,-0
1482.06,-960.346,-0
1482.5,-948.571,-0
1483.85,-935.258,-0
1484.11,-923.537,-0
1482.58,-910.797,-0
1480.87,-898.247,-0
1484.55,-888.26,-0
1489.64,-879.705,-0
1489.49,-868.1,-0
1489.17,-856.669,-0
1489.1,-844.699,-0
1485.21,-831.235,-0
1479.39,-817.019,-0
1478.79,-805.625,-0
1478.34,-793.84,-0
1477.51,-782.656,-0
1476.67,-771.366,-0
1479.3,-761.943,-0
1478.46,-750.421,-0
1475.59,-738.324,-0
1474.44,-727.169,-0
1472.15,-713.627,-0
1472.62,-703.422,-0
1474.77,-694.23,-0
1477.12,-684.469,-0
1477.4,-674.299,-0
1475.71,-663.471,-0
1475.85,-653.352,-0
1476.1,-642.829,-0
1477.94,-633.539,-0
1475.97,-622.836,-0
1473.98,-612.035,-0
1473.95,-601.609,-0
1477.33,-593.262,-0
1475.14,-582.55,-0
1469.14,-570.436,-0
1470.64,-560.98,-0
1470.1,-551.107,-0
1471.36,-541.95,-0
1470.7,-532.116,-0
1470.06,-522.026,-0
1469.27,-512.244,-0
1472.19,-503.784,-0
1471.22,-494.175,-0
1470.38,-484.029,-0
1471.24,-474.948,-0
1471.99,-466.015,-0
1468.92,-455.762,-0
1470.07,-445.172,-0
1470.69,-436.14,-0
1469.34,-426.558,-0
1467.88,-417.146,-0
1468.33,-408.16,-0
1468.72,-399.182,-0
1467.13,-389.7,-0
1469.42,-380.972,-0
1467.71,-371.532,-0
1467.88,-362.603,-0
1467.96,-353.826,-0
1466.08,-344.46,-0
1466.08,-335.575,-0
1466.04,-326.701,-0
1464.05,-317.134,-0
1463.89,-308.295,-0
1465.64,-299.869,-0
1465.35,-291.184,-0
1465.04,-282.371,-0
1464.67,-273.572,-0
1464.25,-264.786,-0
1463.76,-256.154,-0
1461.33,-246.643,-0
1462.73,-238.233,-0
1464.05,-229.955,-0
1465.35,-221.529,-0
1462.64,-212.522,-0
1463.84,-204.104,-0
432.587,-34.997,-0
425.825,-31.657,-0
421.042,-28.421,-0
419.202,-25.8752,-0
418.343,-23.4478,-0
418.477,-20.9205,-0
420.589,-18.6012,-0
424.667,-16.8239,-0
431.884,-10.0221,-0
1442.41,67.6726,0.295279
1448.06,75.0349,0.327404
1447.6,83.3634,0.363744
1449.1,91.6767,0.400017
1450.55,100.149,0.436984
1449.95,108.491,0.473384
1449.3,116.83,0.509769
1448.58,125.443,0.54735
1449.82,133.957,0.584502
1449.03,142.295,0.620882
161.136,16.7131,0.072925
1448.2,150.489,0.656636
1449.3,159.035,0.693926
160.024,17.6996,0.0772295
1448.36,167.369,0.730291
158.907,18.6717,0.0814714
1447.37,175.698,0.766632
1448.34,184.135,0.803444
1449.19,193.143,0.842752
159.577,21.3613,0.093207
1448.05,201.476,0.879112
1444.91,209.377,0.913586
162.22,24.0947,0.105134
1431.81,215.896,0.942031
1416.48,223.456,0.975016
1495.07,385.631,1.68264
1473.04,390.813,1.70525
1455.36,394.948,1.7233
1449.21,402.244,1.75513
1448.68,411.536,1.79568
1448.25,420.281,1.83384
1447.72,429.174,1.87264
1447.15,438.074,1.91147
1446.51,446.982,1.95034
1447.78,456.359,1.99125
1446.9,465.708,2.03205
1446.09,474.647,2.07105
1447.18,484.088,2.11225
1446.26,493.05,2.15135
1445.29,502.018,2.19048
1442.28,510.6,2.22793
1443.09,520.244,2.27001
1441.95,529.226,2.3092
1441.22,536.968,2.34298
1443.71,547.377,2.3884
1446.14,557.832,2.43402
1444.82,566.733,2.47286
1443.4,575.776,2.51231
1440.06,584.07,2.5485
1438.41,593.382,2.58913
1440.51,603.966,2.63532
1440.69,613.81,2.67827
1439.03,622.744,2.71725
1439.09,632.621,2.76035
1438.89,642.934,2.80534
1440.63,653.679,2.85223
1440.54,663.491,2.89504
1440.33,673.461,2.93854
1440.04,683.45,2.98213
1439.56,693.734,3.027
1439.14,703.761,3.07075
1436.86,712.916,3.1107
1436.3,722.968,3.15456
1437.54,733.809,3.20187
1438.62,744.825,3.24993
1439.41,756.291,3.29996
1438.64,766.301,3.34364
1435.96,775.515,3.38384
1439.17,786.362,3.43117
1439.88,797.535,3.47993
1437.01,806.784,3.52028
1435.9,816.877,3.56432
