x,y,z
361.995,1.87413,0
361.979,3.92174,0
364.95,6.05367,0
365.795,12.2441,0
1470.44,102.373,0
1459.86,110.078,0
1460.53,126.479,0
555.917,82.4625,0
563.349,86.8244,0
572.81,91.0395,0
584.228,95.6127,0
598.327,108.02,0
655.77,127.241,0
1456.41,304.971,0
1456.62,313.625,0
1456.74,322.431,0
1456.82,331.249,0
1454.89,339.624,0
1456.83,348.779,0
1458.69,358.108,0
1456.6,366.493,0
1454.47,374.865,0
1458.13,384.617,0
1459.87,393.621,0
1459.5,402.544,0
1459.09,411.476,0
1458.66,420.276,0
1458.14,429.225,0
1457.56,438.181,0
1458.84,447.732,0
1458.19,456.575,0
1455.54,464.955,0
1456.65,474.559,0
1457.69,484.192,0
1459.23,492.173,0
1460.16,501.859,0
1457.3,510.111,0
1456.23,519.157,0
1458.85,529.572,0
1459.54,539.342,0
1458.33,548.293,0
1457.02,557.387,0
1455.66,566.485,0
1454.23,575.585,0
1452.81,584.548,0
1453.3,593.992,0
1453.55,603.877,0
1457.42,615.34,0
1455.76,624.363,0
1455.81,634.324,0
1455.79,644.307,0
1455.71,654.31,0
1457.44,665.025,0
1455.41,674.238,0
1453.32,683.45,0
1454.84,694.244,0
1456.23,705.217,0
1455.73,715.346,0
1455.18,725.493,0
1454.62,735.517,0
1455.7,746.611,0
1453.16,755.895,0
1454.75,765.786,0
1460.91,779.793,0
1459.92,790.087,0
1459.16,799.837,0
1459.78,811.132,0
1460.32,822.46,0
1457.3,831.838,0
1454.3,841.069,0
1459.8,855.488,0
1458.29,865.914,0
1455,875.319,0
1455.15,886.657,0
1455.13,898.165,0
1456.72,910.761,0
1458.22,923.406,0
1459.71,935.958,0
1457.65,946.517,0
1455.53,957.084,0
1455.08,968.627,0
1454.46,980.335,0
1457.92,993.064,0
1457.12,1004.84,0
1454.59,1015.5,0
1455.26,1028.46,0
1455.93,1041.33,0
1456.39,1054.38,0
1456.76,1067.47,0
1455.41,1079.41,0
1457.28,1093.62,0
1458.93,1108.04,0
1458.87,1121.29,0
1455.67,1131.98,0
1452.27,1142.81,0
1451.93,1156.12,0
1451.49,1169.48,0
1451.05,1182.72,0
1455.03,1199.96,0
1457.17,1213.04,0
1454.76,1225.27,0
1455.3,1240.1,0
1458.75,1257.59,0
1459.15,1272.4,0
1459.3,1287.38,0
1456.35,1299.75,0
1456.27,1314.81,0
1454.72,1328.42,0
1451.46,1340.84,0
1455.41,1360.09,0
1457.74,1378.06,0
1455.7,1391.81,0
1453.42,1405.72,0
1452.46,1421.05,0
1450.08,1434.87,0
1454.65,1452.97,0
1457.52,1472.69,0
1454.76,1486.63,0
1454.53,1503.6,0
1454.15,1520.61,0
1453.77,1537.53,0
1450.36,1551.72,0
1449.56,1568.85,0
1451.3,1588.97,0
1455.69,1612,0
1457.05,1632.28,0
1450.28,1643.64,0
1443.43,1654.97,0
1441.89,1672.19,0
1452.2,1700.24,0
1455.46,1723.71,0
1455.77,1744.34,0
1453.35,1761.94,0
1453.3,1782.67,0
1453.23,1803.32,0
1447.82,1817.91,0
1452.18,1845.07,0
1456.28,1872.33,0
1455.42,1893.23,0
1454.18,1914.31,0
1455.15,1938.64,0
1455.89,1963.04,0
1455.74,1983.03,0
1456.25,2007.42,0
1456.32,2032.02,0
1453.86,2053.43,0
1453.48,2078.14,0
1458.03,2109.09,0
1457.35,2133.82,0
1456.24,2158.75,0
1452.67,2180.4,0
1451.31,2205.29,0
1453.85,2237.08,0
1458.9,2271.92,0
1458.66,2300.54,0
1453.77,2317.81,0
1451.61,2342.72,0
1444.37,2361.27,0
